SentenceLength;SimilarityThreshold;Accuracy
4;0.82;0.5145833333333333
4;0.83;0.5125
4;0.84;0.5098958333333333
4;0.85;0.509375
4;0.86;0.5078125
4;0.87;0.5052083333333334
4;0.88;0.50234375
4;0.89;0.5015625
4;0.90;0.5013020833333334
4;0.91;0.5010416666666667
4;0.92;0.50078125
4;0.93;0.50078125
4;0.94;0.5005208333333333
4;0.95;0.5005208333333333
4;0.96;0.5005208333333333
4;0.97;0.5005208333333333
4;0.98;0.5005208333333333
4;0.99;0.5005208333333333
5;0.50;0.55390625
5;0.51;0.5515625
5;0.52;0.54921875
5;0.53;0.5515625
5;0.54;0.5515625
5;0.55;0.5505208333333333
5;0.56;0.55078125
5;0.57;0.5520833333333334
5;0.58;0.5520833333333334
5;0.59;0.5520833333333334
5;0.60;0.5520833333333334
5;0.61;0.5489583333333333
5;0.62;0.5497395833333333
5;0.63;0.5526041666666667
5;0.64;0.5549479166666667
5;0.65;0.5518229166666667
5;0.66;0.5502604166666667
5;0.67;0.54921875
5;0.68;0.5536458333333333
5;0.69;0.553125
5;0.70;0.5546875
5;0.71;0.5489583333333333
5;0.72;0.55
5;0.73;0.546875
5;0.74;0.5440104166666667
5;0.75;0.54453125
5;0.76;0.54296875
5;0.77;0.53984375
5;0.78;0.534375
5;0.79;0.5317708333333333
5;0.80;0.5270833333333333
5;0.81;0.5234375
5;0.82;0.5200520833333333
5;0.83;0.51875
5;0.84;0.5145833333333333
5;0.85;0.5119791666666667
5;0.86;0.5088541666666667
5;0.87;0.5067708333333333
5;0.88;0.503125
5;0.89;0.5013020833333334
5;0.90;0.5015625
5;0.91;0.5015625
5;0.92;0.5010416666666667
5;0.93;0.5005208333333333
5;0.94;0.5005208333333333
5;0.95;0.5005208333333333
5;0.96;0.5005208333333333
5;0.97;0.5005208333333333
5;0.98;0.5005208333333333
5;0.99;0.5005208333333333
6;0.50;0.55078125
6;0.51;0.5536458333333333
6;0.52;0.5557291666666667
6;0.53;0.5567708333333333
6;0.54;0.5546875
6;0.55;0.55703125
6;0.56;0.5575520833333333
6;0.57;0.55859375
6;0.58;0.5596354166666667
6;0.59;0.5627604166666667
6;0.60;0.5604166666666667
6;0.61;0.55234375
6;0.62;0.553125
6;0.63;0.5533854166666666
6;0.64;0.5526041666666667
6;0.65;0.5518229166666667
6;0.66;0.5544270833333333
6;0.67;0.55234375
6;0.68;0.5611979166666666
6;0.69;0.5622395833333333
6;0.70;0.5583333333333333
6;0.71;0.55859375
6;0.72;0.5575520833333333
6;0.73;0.5567708333333333
6;0.74;0.5591145833333333
6;0.75;0.5533854166666666
6;0.76;0.55234375
6;0.77;0.546875
6;0.78;0.5447916666666667
6;0.79;0.5408854166666667
6;0.80;0.5375
6;0.81;0.5322916666666667
6;0.82;0.5260416666666666
6;0.83;0.51953125
6;0.84;0.5153645833333333
6;0.85;0.5114583333333333
6;0.86;0.509375
6;0.87;0.5057291666666667
6;0.88;0.50390625
6;0.89;0.5028645833333333
6;0.90;0.5013020833333334
6;0.91;0.5005208333333333
6;0.92;0.5002604166666667
6;0.93;0.5005208333333333
6;0.94;0.5005208333333333
6;0.95;0.5005208333333333
6;0.96;0.5005208333333333
6;0.97;0.5005208333333333
6;0.98;0.5005208333333333
6;0.99;0.5005208333333333
7;0.50;0.55390625
7;0.51;0.5546875
7;0.52;0.5567708333333333
7;0.53;0.5559895833333334
7;0.54;0.55859375
7;0.55;0.5604166666666667
7;0.56;0.5572916666666666
7;0.57;0.55859375
7;0.58;0.5567708333333333
7;0.59;0.5588541666666667
7;0.60;0.5591145833333333
7;0.61;0.5596354166666667
7;0.62;0.56171875
7;0.63;0.5643229166666667
7;0.64;0.5611979166666666
7;0.65;0.5583333333333333
7;0.66;0.5619791666666667
7;0.67;0.5671875
7;0.68;0.56484375
7;0.69;0.5609375
7;0.70;0.5622395833333333
7;0.71;0.5645833333333333
7;0.72;0.5619791666666667
7;0.73;0.5614583333333333
7;0.74;0.56015625
7;0.75;0.55859375
7;0.76;0.55390625
7;0.77;0.5549479166666667
7;0.78;0.55078125
7;0.79;0.5434895833333333
7;0.80;0.5411458333333333
7;0.81;0.5328125
7;0.82;0.528125
7;0.83;0.5231770833333333
7;0.84;0.5203125
7;0.85;0.5140625
7;0.86;0.509375
7;0.87;0.5065104166666666
7;0.88;0.5049479166666667
7;0.89;0.503125
7;0.90;0.5018229166666667
7;0.91;0.5015625
7;0.92;0.50078125
7;0.93;0.5005208333333333
7;0.94;0.5005208333333333
7;0.95;0.5005208333333333
7;0.96;0.5005208333333333
7;0.97;0.5005208333333333
7;0.98;0.5005208333333333
7;0.99;0.5005208333333333
