d5e47685Heiligenlexikon-1858;(21. Juli al. 20. u. 22. Dec.)
d5e48038Heiligenlexikon-1858;(12. al. 17. u. 25. Aug.)
d5e48038Heiligenlexikon-1858;(12. al. 17. u. 25. Aug.)
d5e51846Heiligenlexikon-1858;(19. Aug. al. 19. et 29. Sept., 10. et 11. Oct. 18. Nov.)
d5e52231Heiligenlexikon-1858;(9. Febr. al. 9. u. 17. Jan., 7. Apr., 4. u. 27. Jul.)
d5e54847Heiligenlexikon-1858;(19. al. 11., 20. Jan)
d5e54847Heiligenlexikon-1858;(19. al. 11., 20. Jan)
d5e56613Heiligenlexikon-1858;(29. Juli, al. 15. und 17. Oct. und 17. Dec.)
d5e59461Heiligenlexikon-1858;(1. al. 15. et 30. Jan., 26. Febr., 25. Oct., 28. Nov.)
d5e59461Heiligenlexikon-1858;(1. al. 15. et 30. Jan., 26. Febr., 25. Oct., 28. Nov.)
d5e60284Heiligenlexikon-1858;(21. Febr. al. 18., 19. Juli)
d5e66507Heiligenlexikon-1858;(28. Dec. al. 29. 30. Juni et 1. März)
d5e67079Heiligenlexikon-1858;(23. März al. 23. u. 24. Juli)
d5e67644Heiligenlexikon-1858;(15. al. 14. et 27. März, 7. Sept.)
d5e67644Heiligenlexikon-1858;(15. al. 14. et 27. März, 7. Sept.)
d5e69191Heiligenlexikon-1858;(20. Juli, al. 25. et 27. März)
d5e70166Heiligenlexikon-1858;(24., 25. al. 7. Febr., 12. Mai. 18. Juli, 9. Aug.)
d5e74393Heiligenlexikon-1858;(21. al. 18., 20. Oct.)
d5e74393Heiligenlexikon-1858;(21. al. 18., 20. Oct.)
d5e74828Heiligenlexikon-1858;(20. Jan. al. 20. u. 21. Nov.)
d5e77718Heiligenlexikon-1858;(8. Jan. al. 16. et 21. Oct.)
d5e77811Heiligenlexikon-1858;(22. Febr. al. 21. u. 22. Jan.)
d5e81027Heiligenlexikon-1858;(30. al. 21. u. 25. April, 6. März, 7. u. 14. Mai, 28. Sept.)
d5e81027Heiligenlexikon-1858;(30. al. 21. u. 25. April, 6. März, 7. u. 14. Mai, 28. Sept.)
d5e83389Heiligenlexikon-1858;(27. Nov. al. 26. u. 29. Sept., 2. Oct., 3. Dec.)
d5e87074Heiligenlexikon-1858;(21. al. 20., 23. Jan., 27. Febr., 6. et 17. Oct.)
d5e87074Heiligenlexikon-1858;(21. al. 20., 23. Jan., 27. Febr., 6. et 17. Oct.)
d5e90191Heiligenlexikon-1858;(15. Sept. al. 29. u. 30. Oct.)
d5e90899Heiligenlexikon-1858;(3. Jan. al. 1. u. 17. Oct.)
d5e92994Heiligenlexikon-1858;(3. al. 8. et 16. Oct.)
d5e92994Heiligenlexikon-1858;(3. al. 8. et 16. Oct.)
d5e96404Heiligenlexikon-1858;(31. Jan. al. 9. et 20. Febr.)
d5e96429Heiligenlexikon-1858;(31. Jan. al. 9. et 20. Febr.)
d5e96544Heiligenlexikon-1858;(31. Jan. al. 9. et 20. Febr.)
d5e96741Heiligenlexikon-1858;(8. al. 10. et 13. Mai)
d5e96741Heiligenlexikon-1858;(8. al. 10. et 13. Mai)
d5e100777Heiligenlexikon-1858;(23. al. 26., 28. Dec.)
d5e100777Heiligenlexikon-1858;(23. al. 26., 28. Dec.)
d5e110883Heiligenlexikon-1858;(4. Mai al. 9., 20., 28. April)
d5e123810Heiligenlexikon-1858;(10. u. 20. al. 30. Nov., 27. März)
d5e126213Heiligenlexikon-1858;(31. Oct. al. 25., 31. Juli, 2., 25. u. 27. Aug.)
d5e126519Heiligenlexikon-1858;(28. Febr. al. 16., 17. u. 18. Jan.)
d5e128297Heiligenlexikon-1858;(26. al. 25. u. 28. Febr.)
d5e128297Heiligenlexikon-1858;(26. al. 25. u. 28. Febr.)
d5e133550Heiligenlexikon-1858;(22. al. 10., 21. Mai)
d5e133550Heiligenlexikon-1858;(22. al. 10., 21. Mai)
d5e140505Heiligenlexikon-1858;(10. Nov., al. 12., 19. Aug. 3. Sept.)
d5e148301Heiligenlexikon-1858;(15., al. 17., 18. Mai)
d5e148301Heiligenlexikon-1858;(15., al. 17., 18. Mai)
d5e150075Heiligenlexikon-1858;(29. Febr., al. 27. und 28. Juni, 15. Oct.)
d5e157392Heiligenlexikon-1858;(26. al. 4. und 25. Febr.)
d5e157392Heiligenlexikon-1858;(26. al. 4. und 25. Febr.)
d5e158597Heiligenlexikon-1858;(26. al. 24. und 28. Juli)
d5e158597Heiligenlexikon-1858;(26. al. 24. und 28. Juli)
d5e162189Heiligenlexikon-1858;(25. al. 26. Bug., 13. März)
d5e162189Heiligenlexikon-1858;(25. al. 26. Bug., 13. März)
d5e162629Heiligenlexikon-1858;(28. April, al. 16. u. 19. Mai)
d5e174471Heiligenlexikon-1858;(8. al. 18. u. 19. Oct., 2., 11. u. 12. Juni)
d5e174471Heiligenlexikon-1858;(8. al. 18. u. 19. Oct., 2., 11. u. 12. Juni)
d5e174951Heiligenlexikon-1858;(2. März, al. 27. 28. Aug.)
d5e176215Heiligenlexikon-1858;(1. Aug. al. 26. u. 16. Mai)
d5e178751Heiligenlexikon-1858;(10. al. 11. 14. Jan.)
d5e178751Heiligenlexikon-1858;(10. al. 11. 14. Jan.)
d5e181036Heiligenlexikon-1858;(15. al. 11., 18. Mai)
d5e181036Heiligenlexikon-1858;(15. al. 11., 18. Mai)
d5e183607Heiligenlexikon-1858;(1. Sept., 26. al. 24. und 25. Nov.)
d5e185036Heiligenlexikon-1858;(19. Aug. al. 25., 29. Juni)
d5e186174Heiligenlexikon-1858;(18. al. 7. 15. Juli)
d5e186174Heiligenlexikon-1858;(18. al. 7. 15. Juli)
d5e194740Heiligenlexikon-1858;(36. Nov. al. 4., 18. Febr.)
d5e194740Heiligenlexikon-1858;(36. Nov. al. 4., 18. Febr.)
d5e195587Heiligenlexikon-1858;(16. al. 13., 19. Febr. al. 31. Oct.)
d5e195587Heiligenlexikon-1858;(16. al. 13., 19. Febr. al. 31. Oct.)
d5e196194Heiligenlexikon-1858;(1. Mai al. 28. Fbr., 14. Nov.)
d5e210509Heiligenlexikon-1858;(23. al. 25., 27. Aug., 22. Sept., 31. Dec.)
d5e210509Heiligenlexikon-1858;(23. al. 25., 27. Aug., 22. Sept., 31. Dec.)
d5e216634Heiligenlexikon-1858;(28., 29. Apr. al. 5. Sept.)
d5e216895Heiligenlexikon-1858;(15. März al. 15., 16. Jan.)
d5e221817Heiligenlexikon-1858;(25. al. 27. u. 28. April)
d5e221817Heiligenlexikon-1858;(25. al. 27. u. 28. April)
d5e231095Heiligenlexikon-1858;(5. Dec. al. 20. und 25. Jan, 14. Febr., 29. März. 5. Nov.)
