File;Accuracy;Precision;Recall
rule_based_evaluation.txt;0.71;0.4888888888888889;0.38596491228070173

;Gold Standard Match; System Match;HLexLink;WikidataLinkGold;WikidataLinkSystem
d3e69890Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e69890Heiligenlexikon-1858;;
d3e20044Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e20044Heiligenlexikon-1858;;
d3e571901Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e571901Heiligenlexikon-1858;;
d3e90311Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e90311Heiligenlexikon-1858;;
d5e391819Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e391819Heiligenlexikon-1858;;
d5e19026Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e19026Heiligenlexikon-1858;;
d5e71552Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e71552Heiligenlexikon-1858;;
d5e268685Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e268685Heiligenlexikon-1858;;
d5e384613Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e384613Heiligenlexikon-1858;;
d3e18842Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e18842Heiligenlexikon-1858;;
d3e237074Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e237074Heiligenlexikon-1858;;
d5e306956Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e306956Heiligenlexikon-1858;;
d3e118645Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e118645Heiligenlexikon-1858;;
d3e352729Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e352729Heiligenlexikon-1858;;
d5e145989Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e145989Heiligenlexikon-1858;;
d3e351500Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e351500Heiligenlexikon-1858;;
d3e560471Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e560471Heiligenlexikon-1858;;
d3e73419Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e73419Heiligenlexikon-1858;;
d3e325562Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d3e325562Heiligenlexikon-1858;;
d5e340517Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e340517Heiligenlexikon-1858;;
d5e158667Heiligenlexikon-1858;;;https://damaskino.github.io/HeiligenlexikonMapping?entry=d5e158667Heiligenlexikon-1858;;
